NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,CodCircElec
1,LAHY,Éric,M.,EXG,Extrême gauche,0101
2,MAÎTRE,Christophe,M.,RN,Rassemblement National,0101
3,BRETON,Xavier,M.,LR,Les Républicains,0101
4,GUERAUD,Sébastien,M.,UG,Union de la gauche,0101
5,VINCENT,Cyril,M.,DSV,Droite souverainiste,0101
6,MENDES,Michael,M.,DSV,Droite souverainiste,0101
7,GUILLERMIN,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle),0101
1,KOTARAC,Andréa,M.,RN,Rassemblement National,0102
2,DAUBIÉ,Romain,M.,DVC,Divers centre,0102
3,EYRAUD,Olivier,M.,EXD,Extrême droite,0102
4,GOUTAGNY,Vincent,M.,EXG,Extrême gauche,0102
5,MEYER,Maxime,M.,UG,Union de la gauche,0102
6,NANCHI,Alexandre,M.,LR,Les Républicains,0102
1,GIVERNET,Olga,Mme,ENS,Ensemble ! (Majorité présidentielle),0103
2,JOLIE,Christian,M.,UG,Union de la gauche,0103
3,VEILLEROT,Annick,Mme,DSV,Droite souverainiste,0103
4,MAISONNETTE,Cécile,Mme,EXG,Extrême gauche,0103
5,UNAL,Khadija,Mme,LR,Les Républicains,0103
6,DUBARRY,Karine,Mme,RN,Rassemblement National,0103
7,TONIZZO,Sofia,Mme,DIV,Divers,0103
8,KOUASSI,Fulgence,M.,DIV,Divers,0103
1,LIOTIER,Charline,Mme,UG,Union de la gauche,0104
2,BRESSON,Yannick,M.,DIV,Divers,0104
3,NICAUD,Jérémy,M.,DIV,Divers,0104
4,COUSSON,Sylvain,M.,EXG,Extrême gauche,0104
5,COQUELET,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle),0104
6,BUISSON,Jérôme,M.,RN,Rassemblement National,0104
7,BILLOUDET,Guy,M.,LR,Les Républicains,0104
1,CHATELARD,Thomas,M.,ECO,Ecologistes,0105
2,CROZET,Sylvie,Mme,EXG,Extrême gauche,0105
3,BOURDIN,Fabrice,M.,LR,Les Républicains,0105
4,PISANI,Florence,Mme,UG,Union de la gauche,0105
5,ABAD,Damien,M.,DVD,Divers droite,0105
6,DESCOURS,Nathalie,Mme,ENS,Ensemble ! (Majorité présidentielle),0105
7,PATRU,Maria Cristina,Mme,REC,Reconquête !,0105
8,CHAVENT,Marc,M.,UXD,Union de l'extrême droite,0105
1,CULIOLI,Charles,M.,UG,Union de la gauche,0201
2,TRÉGUIER,Philippe,M.,REC,Reconquête !,0201
3,BOUFFLET,Matthieu Léon,M.,DIV,Divers,0201
4,DRAGON,Nicolas,M.,RN,Rassemblement National,0201
5,PERNELLE,Jean-Loup,M.,EXG,Extrême gauche,0201
6,DELAVENNE,Damien,M.,ENS,Ensemble ! (Majorité présidentielle),0201
1,DIVE,Julien,M.,LR,Les Républicains,0202
2,BÉCOURT,Corinne,Mme,EXG,Extrême gauche,0202
3,DUJANCOURT,Anne-Sophie,Mme,UG,Union de la gauche,0202
